"あおうづしいら","粟生津しいら"
"あおとそら","青砥そら"
"あさがやかのん","阿佐ヶ谷カノン"
"ありすがわもば","有栖川もぼ"
"いかりがせきひいる","碇ヶ関ひいる"
"いわくにみづほ","岩国みづほ"
"うらさのあ","浦佐ノア"
"おうじしぐれ","王子しぐれ"
"おおつきしーな","大月シーナ"
"かくのだてあけひ","角館あけひ"
"かしこじまえりあ","賢島エリア"
"かしはららら","橿原らら"
"かつらみやび","桂みやび"
"かぬまりんご","鹿沼りんご"
"かばたけいおり","神畑いおり"
"かむいこたん","神居コタン"
"きこうちさいか","木古内さいか"
"きょうばしりおな","京橋リオナ"
"くぼかわまぜ","窪川まぜ"
"くりからしおり","倶利伽羅しおり"
"くろさきあたる","黒崎あたる"
"こいがはまみろく","恋浜みろく"
"こけなわやちよ","苔縄やちよ"
"こずやすぴか","小鳥谷スピカ"
"こようせりあ","黄陽セリア"
"こようれいか","黄陽レイカ"
"さかいであさ","坂出アサ"
"さがのもみじ","嵯峨野もみじ"
"さきがたいろは","象潟いろは"
"さくさべちこ","作草部チコ"
"さくさべまこ","作草部マコ"
"さんじょうなつめ","三条なつめ"
"しきしまひめぎ","敷島ヒメギ"
"しちようみつる","七耀みつる"
"してぐりめろ","為栗メロ"
"しゃくどるる","尺土るる"
"しゃるろって","シャルロッテ＝フォン＝ハノーファー"
"しらとりはる","白鳥ハル"
"しらはままりん","白浜マリン"
"しんさかるな","新阪ルナ"
"しんゆりうらら","新百合うらら"
"しんゆりほこね","新百合ほこね"
"せのおまりか","妹尾まりか"
"たかおかやまと","高岡やまと"
"たつみれん","巽レン"
"だいゆうざんるり","大雄山るり"
"だっちゅー","ダッチュー"
"てらいちほ","汀良いちほ"
"てんがさや","天下さや"
"とよさかなほ","豊栄なほ"
"なこそめい","勿来メイ"
"なんごうにちな","南郷にちな"
"にいはまありす","新居浜ありす"
"にいはまいずな","新居浜いずな"
"にゃっしゅ","ニャッシュ"
"ねうつむぎ","根雨つむぎ"
"はなばたけもえ","花畑もえ"
"はぬきみゆ","羽貫ミユ"
"びばいいむら","美唄イムラ"
"びふかふぶ","美深ふぶ"
"べあとりす","ベアトリス＝ファン＝ライツェ"
"ほたるじゃやみなも","蛍茶屋みなも"
"まるちにころ","丸地にころ"
"みだみくに","美談くに"
"みだみみこと","美談みこと"
"みゆうちとせ","深遊ちとせ"
"もとじゅくひまり","本宿ひまり"
"やくもれーの","八雲レーノ"
"やしおみらい","八潮みらい"
"ゆうになより","友荷なより"
"ゆのまえひびき","湯前ひびき"
"れんだいじなぎさ","蓮台寺ナギサ"
"れんだいじみお","蓮台寺ミオ"
